,Unnamed: 0,date time,millis,samp_temp,samp_press,samp_flow,pump_status,ozone,photo_samp_valve,photo_ref_valve,photo_samp_detect,photo_ref_detect,photo_raw_ozone,photo_ozone_noise,photo_lamp_temp,photo_enc_temp
45053,45053,2017-04-17 00:00:00,31.6,669.7,922,1,11.1,0,0,1.3019100000000001,1.3020200000000002,6.2,1.3,49.9,33.5,
45054,45054,2017-04-17 00:30:00,31.7,669.8,942,1,7.3,0,0,1.30386,1.30393,3.8,0.7,50.0,35.3,
45055,45055,2017-04-17 01:00:00,32.0,670.0,949,1,3.5,0,0,1.3040399999999999,1.30407,1.5,0.5,50.1,36.0,
45056,45056,2017-04-17 01:30:00,32.3,669.9,953,1,4.4,0,0,1.30356,1.3036,2.1,0.6,50.1,36.2,
45057,45057,2017-04-17 02:00:00,32.3,669.8,948,1,4.9,0,0,1.30281,1.30285,2.3,1.7,50.0,35.8,
45058,45058,2017-04-17 02:30:00,32.0,669.8,924,1,2.8,0,0,1.30185,1.30187,1.0,1.8,49.9,34.4,
45059,45059,2017-04-17 03:00:00,31.4,670.2,912,1,3.9,0,0,1.3021399999999999,1.30218,1.7,0.8,49.9,33.6,
45060,45060,2017-04-17 03:30:00,31.9,670.7,948,1,4.9,0,0,1.30388,1.30392,2.4,0.5,50.0,35.7,
45061,45061,2017-04-17 04:00:00,32.0,670.5,937,1,3.9,0,0,1.30264,1.30267,1.7,1.8,50.0,34.4,
45062,45062,2017-04-17 04:30:00,31.4,670.6,914,1,2.7,0,0,1.30233,1.30234,1.0,0.7,49.9,33.2,
45063,45063,2017-04-17 05:00:00,31.1,670.8,911,1,2.5,0,0,1.30308,1.3031,0.8,0.7,49.9,33.1,
45064,45064,2017-04-17 05:30:00,31.7,670.8,953,1,3.2,0,0,1.30479,1.30481,1.3,0.5,50.1,35.4,
45065,45065,2017-04-17 06:00:00,32.0,670.9,937,1,2.0,0,0,1.3035700000000001,1.30358,0.5,1.5,50.0,34.8,
45066,45066,2017-04-17 06:30:00,31.4,670.9,914,1,2.2,0,0,1.30263,1.30265,0.7,0.8,49.9,33.3,
45067,45067,2017-04-17 07:00:00,31.7,671.1,951,1,2.7,0,0,1.30436,1.3043799999999999,1.0,0.4,50.0,35.2,
45068,45068,2017-04-17 07:30:00,32.2,671.5,960,1,6.2,0,0,1.30387,1.30393,3.1,0.9,50.1,35.6,
45069,45069,2017-04-17 08:00:00,31.6,671.2,920,1,10.8,0,0,1.30215,1.30227,6.0,1.4,49.9,33.4,
45070,45070,2017-04-17 08:30:00,31.5,671.2,924,1,14.1,0,0,1.30308,1.3032299999999999,8.1,0.8,50.0,34.0,
45071,45071,2017-04-17 09:00:00,32.4,671.1,954,1,17.1,0,0,1.30375,1.3039399999999999,10.0,1.1,50.1,35.9,
45072,45072,2017-04-17 09:30:00,32.7,670.8,961,1,18.6,0,0,1.3030700000000002,1.3032700000000002,10.9,1.7,50.1,36.4,
45073,45073,2017-04-17 10:00:00,32.7,670.5,956,1,24.0,1,0,1.30152,1.30178,14.2,1.0,50.0,35.4,
45074,45074,2017-04-17 10:30:00,32.2,670.1,935,1,24.2,0,0,1.30051,1.3007799999999998,14.3,1.3,49.9,33.9,
45075,45075,2017-04-17 11:00:00,31.9,669.7,948,1,27.1,0,0,1.30115,1.30145,16.1,2.5,49.9,33.9,
45076,45076,2017-04-17 11:30:00,33.7,669.6,960,1,24.8,0,1,1.28051,1.2807899999999999,14.7,1.3,45.9,35.4,
45077,45077,2017-04-17 12:00:00,33.0,669.2,953,1,30.0,0,0,1.27684,1.2771700000000001,17.9,1.5,48.4,34.1,
45078,45078,2017-04-17 12:30:00,32.3,668.6,944,1,33.4,0,0,1.28351,1.28387,20.0,1.4,48.8,33.7,
45079,45079,2017-04-17 13:00:00,32.1,668.3,950,1,34.6,0,0,1.28857,1.28895,20.7,1.4,49.1,33.6,
45080,45080,2017-04-17 13:30:00,32.1,668.0,943,1,27.9,0,0,1.29221,1.29251,16.6,1.1,49.4,33.7,
45081,45081,2017-04-17 14:00:00,32.4,667.8,955,1,27.1,0,0,1.29574,1.2960399999999999,16.1,2.1,49.6,35.1,
45082,45082,2017-04-17 14:30:00,33.0,667.5,961,1,35.6,0,0,1.2964799999999999,1.29688,21.3,1.1,49.8,35.5,
45083,45083,2017-04-17 15:00:00,32.8,667.4,955,1,44.8,0,0,1.29656,1.29706,27.0,1.3,49.8,34.7,
45084,45084,2017-04-17 15:30:00,32.3,667.0,943,1,34.5,0,0,1.2975,1.29788,20.6,1.4,49.8,33.9,
45085,45085,2017-04-17 16:00:00,32.1,667.0,945,1,28.4,0,0,1.29862,1.29893,16.9,1.2,49.8,33.7,
45086,45086,2017-04-17 16:30:00,32.5,667.3,975,1,25.5,0,0,1.30057,1.30084,15.0,2.1,50.0,35.5,
45087,45087,2017-04-17 17:00:00,32.8,667.5,963,1,17.3,0,0,1.3002200000000002,1.3004,10.0,0.9,50.0,35.5,
45088,45088,2017-04-17 17:30:00,31.9,667.8,938,1,15.5,0,0,1.29952,1.29968,8.9,1.1,49.9,33.6,
45089,45089,2017-04-17 18:00:00,31.4,668.2,927,1,7.0,0,0,1.30061,1.30067,3.6,1.6,49.9,33.1,
45090,45090,2017-04-17 18:30:00,31.2,668.6,926,1,3.6,0,0,1.30152,1.30154,1.5,0.8,49.9,32.9,
